book No	Author	Alternate name (i.e.  Order Name)	Translator	Title	Sub-title	Year of Publication	Publisher	Place	Edition	Subject	Class 1	Class 2	Class 3	Keywords	Synopsis	Notes	ISBN	Medium	Copies	
970	"Sangharakshita & Mallander, J.O."""			In the Realm of the Lotus	"A conversation about art, beauty and the spiritual life"	1995				Sangharakshita	SANG	INT					0-904766-72-1	Book	1	
971	Sangharakshita			In the Sign of the Golden Wheel	Indian Memoirs of an English Buddhist	1996	Windhorse				SANG	INT					189-9579141	Paperback	1	
972	Sangharakshita			In the Sign of the Golden Wheel	Indian Memoirs of an English Buddhist	1996	Windhorse				SANG	INT					189-9579141	Paperback	1	
973	Sangharakshita		Oscar Franco Anaya	La Mente en la Psicologia Budista		2011	ediciones CBCM	Mexico City			SANG	KNO	Sp				no ISBN	Paperback	1	
974	Sangharakshita			Know Your Mind	The Psychological dimension of ethics in Buddhism	1998				Sangharakshita	SANG	KNO					0-904766-79-9	Book	1	
975	Sangharakshita			Know Your Mind	The Psychological dimension of ethics in Buddhism	1998				Sangharakshita	SANG	KNO					0-904766-79-9	Book	1	
976	Sangharakshita			Know Your Mind	The Psychological dimension of ethics in Buddhism	1998				Sangharakshita	SANG	KNO					0-904766-79-9	Book	1	
977	Sangharakshita			Learning to Walk		1990				Sangharakshita	SANG	LEA					0-904766-45-4	Book	1	
978	Sangharakshita		Jochen Lehner	Buddas Meisterworte fur Menschen von heuteLotos	Satipatthana-sutta	2004	Lotos				SANG	LIV	G				3-7787-8165-0	Hardback	1	
979	Sangharakshita			Living Ethically	Advice from Nagarguna's Precious Garland	2009	Windhorse				SANG	LIV						Paperback	1	
980	Sangharakshita			Living Ethically	Advice from Nagarguna's Precious Garland	2009	Windhorse				SANG	LIV						Paperback	1	
981	Sangharakshita			Living Wisely		2013	Windhorse				SANG	LIV						paperback	1	
982	Sangharakshita			Living Wisely		2013	Windhorse				SANG	LIV						paperback	1	
983	Sangharakshita			Living with Awareness	A guide to the Satipatthana Sutta	2003	Windhorse				SANG	LIV						paperback	1	
984	Sangharakshita			Living with Awareness	A guide to the Satipatthana Sutta	2003	Windhorse				SANG	LIV						paperback	1	
985	Sangharakshita			Living with Awareness	A guide to the Satipatthana Sutta	2003	Windhorse				SANG	LIV						paperback	1	
986	Sangharakshita			Living with Kindness	The Buddha's Teaching on Metta	2004	Windhorse				SANG	LIV					189-9579648	paperback	1	
987	Sangharakshita			Living with Kindness	The Buddha's Teaching on Metta	2004	Windhorse				SANG	LIV					189-9579648	paperback	1	
988	Sangharakshita			The Meaning of Conversion in Buddhism		1994				Sangharakshita	SANG	MEA					0-904766-67-5	Book	1	
989	Sangharakshita			The Meaning of Conversion in Buddhism		1994				Sangharakshita	SANG	MEA					0-904766-67-5	Book	1	
990	Sangharakshita			The Meaning of Conversion in Buddhism		1994				Sangharakshita	SANG	MEA					0-904766-67-5	Book	1	
991	Sangharakshita			"Metaphors, Magic and Mystery"	An anthology of writings and teachings on words and their relation to the truth	2014	Ibis				SANG	MET					978-0-9574700-4-0	paperback	1	
992	Sangharakshita		Shuddhavajra  	Solo existe el momento presente		1994	Tres Joyas	Valencia			SANG	MIN	Sp				9 788488 768070	Paperback	1	
993	Sangharakshita			A Moseley Miscellany	Prose & Verse 1997 to 2012	2015	Ibis				SANG	MOS					978-1-9099314-68-9	paper	1	
994	Sangharakshita			Moving Against the Stream	The Birth of a new Buddhist Movement	2003	Windhorse				SANG	MOV						paperback	1	
995	Sangharakshita			Moving Against the Stream	The Birth of a new Buddhist Movement	2003	Windhorse				SANG	MOV						paperback	1	
996	Sangharakshita			My Relation to the Order		1998				Sangharakshita	SANG	MYR					0-904766-47-0	Booklet	1	
997	Sangharakshita			My Relation to the Order		1990				Sangharakshita	SANG	MYR					0-904766-47-0	Booklet	1	
998	Sangharakshita			New Currents in Western Buddhism	The Inner Meaning of the Friends of the Western Order	1990				Sangharakshita	SANG	NEW					0-904766-46-2	Paperback	1	
999	Sangharakshita			New Currents in Western Buddhism	The Inner Meaning of the Friends of the Western Order	1990				Sangharakshita	SANG	NEW					0-904766-46-2	Paperback	1	
1000	Sangharakshita			The Path of the Inner Life		1983				Sangharakshita	SANG	PAT				CHECK NOT DUPLICATE	0-904766-004	Book	1	
1001	Sangharakshita			The Path of the Inner Life		1983				Sangharakshita	SANG	PAT					0-904766-00-4	Paperback	1	
1002	Sangharakshita			Peace is a Fire	A Collection of Writings and Sayings	1995			2	Sangharakshita	SANG	PEA					0-904766-84-5	Book	1	
1003	Sangharakshita			Precious Teachers	Indian Memoirs of an English Buddhist	2007	Windhorse				SANG	PRE						Paperback	1	
1004	Sangharakshita			Precious Teachers	Indian Memoirs of an English Buddhist	2007	Windhorse				SANG	PRE						Paperback	1	
1005	Sangharakshita			The Priceless Jewel		1993				Sangharakshita	SANG	PRI					0-904766-58-6	Paperback	1	
1006	Sangharakshita			The Priceless Jewel		1993				Sangharakshita	SANG	PRI					0-904766-58-6	Paperback	1	
1007	Sangharakshita			The Purpose & Practice of Buddhist Meditation		2012	IBIS				SANG	PUR						paperback	1	
1008	Sangharakshita			Rainbow Road	"From Tooting Broadway to Kalimpong, Memoirs of an English Buddhist"	1997	Windhorse				SANG	RAI						paperback	1	
1009	Sangharakshita			The Religion of Art		1988	Windhorse				SANG	REG					0-904766-31-4	paperback	1	
1010	Sangharakshita			Ritual & Devotion in Buddhism	An introduction	1995				Sangharakshita	SANG	RIT					0-904766-87-x	Book	1	
1011	Sangharakshita			Ritual & Devotion in Buddhism	An Introduction	1995				Sangharakshita	SANG	RIT					0-904766-87-x	Paperback	1	
1012	Sangharakshita			Ritual & Devotion in Buddhism	An Introduction	1995				Sangharakshita	SANG	RIT					0-904766-87-x	Paperback	1	
1013	Sangharakshita			Salutation to the Three Jewels	A Study Seminar on the Tiratana-vandan?	1985				Sangharakshita	SANG	SAL						Paperback	1	
1014	Sangharakshita			Salutation to the Three Jewels	A Study Seminar on the Tiratana-vandan?	1985				Sangharakshita	SANG	SAL						Paperback	1	
1015	Sangharakshita			Salutation to the Three Jewels	A Study Seminar on the Tiratana-vandan?	1985				Sangharakshita	SANG	SAL						Paperback	1	
1016	Sangharakshita			Sangharakshita in Seminar	Texts from the Pali Canon		LULU				SANG	SEM						hardback	1	
1017	Sangharakshita			El Sendero del Buda	Las Ocho Etapas de la Liberaci??n	1987	Ediciones Dharma			Books in other languages	SANG	SEN	Sp				84-86615-03-8	Paperback book	1	
1018	Sangharakshita			El Sendero del Buda	Las Ocho Etapas de la Liberaci??n	1987	Ediciones Dharma			Books in other languages	SANG	SEN	Sp				84-86615-03-8	Paperback book	1	
1019	Sangharakshita & Subhuti			Sonido y Color De La Realidad		2007	Edicione CBCM				SANG	SON	Sp 					paperback	1	
1020	Sangharakshita			A Stream of Stars	Reflections and Aphorisms	1998				Sangharakshita	SANG	STR					1-899579-08-7	Book	1	
1021	Sangharakshita		Jnanacandra & Dhammaloka	Buddha Dharma	Band 1:Auf der Spuren des Transzendenten1999Do	1999	DO Publikationen   				SANG	SUR	G				3-929447-10-X	Hardback	1	
1022	Sangharakshita			A Survey of Buddhism		1966			3	Sangharakshita	SANG	SUR						Hardback book	1	
1023	Sangharakshita			A Survey of Buddhism	Its doctrines and methods through the ages	2001			9	Sangharakshita	SANG	SUR					0-904766-93-4	Paperback	1	
1024	Sangharakshita			A Survey of Buddhism	Its doctrines and methods through the ages	1987			6	Sangharakshita	SANG	SUR					0-948006-01-3	Paperback	1	
1025	Sangharakshita			A Survey of Buddhism		1980			5	Sangharakshita	SANG	SUR					0-394-73732-6	Book	1	
1026	Sangharakshita		Shuddhavajras	El tantra: su simbolismo y sus paracticas		1995	Tres Joyas	Valencia			SANG	TAN	Sp				9 788488 768094	Paperback	1	
1027	Sangharakshita			The Taste of Freedom		1990				Sangharakshita	SANG	TAS					0-904766-42-X		1	
1028	Sangharakshita			The Taste of Freedom		1990				Sangharakshita	SANG	TAS					0-904766-42-X		1	
1029	Sangharakshita		Sumati	Buddhalaisuuden Kymmenen Pilaria		1995	Lansimaisen buddhalaisen veljeskunnan ystavat	Helsinki			SANG	TEN	Fi				951 96285 0 9	Paperback	1	
1030	Sangharakshita		Nuria Mart	Los diez pliares del Budismo		2011	Oniro	Barcelona			SANG	TEN	Sp				9 788497 545624	Paperback	1	
1031	Sangharakshita			The Ten Pillars of Buddhism		1989			3	Sangharakshita	SANG	TEN					0-904766-39-x	Paperback	1	
1032	Sangharakshita			The Ten Pillars of Buddhism		1989			3	Sangharakshita	SANG	TEN					0-904766-39-x	Paperback	1	
1033	Sangharakshita			The Ten Pillars of Buddhism		1989			3	Sangharakshita	SANG	TEN					0-904766-39-x	Paperback	1	
1034	Sangharakshita			The Thousand Petalled Lotus 		1988	Allan Sutton				SANG	THO						paperback	1	
1035	Sangharakshita			The Thousand Petalled Lotus 		1976	William Heinemann				SANG	THO						hardback	1	
1036	Sangharakshita			The Three Jewels	The Central Ideals of Buddhism	1998			4	Sangharakshita	SANG	THR							1	
1037	Sangharakshita			The Three Jewels	An Introduction to Buddhism	1977				Sangharakshita	SANG	THR					0-904766-05-5	Paperback	1	
1038	Sangharakshita			The Three Jewels	An Introduction to Buddhism	1977				Sangharakshita	SANG	THR					0-904766-05-5	Paperback	1	
1039	Sanghrakshita			The Threefold Refuge		05-Jun				Sangharakshita	SANG	THR							1	
1040	Sanghrakshita			The Threefold Refuge		05-Jun				Sangharakshita	SANG	THR							1	
1041	Sanghrakshita			The Threefold Refuge		05-Jun				Sangharakshita	SANG	THR							1	
1042	Sanghrakshita			Through Buddhist Eyes		2000				Sangharakshita	SANG	THR							1	
1043	Sangharakshita		Hans Oberman	Einfuhrung in den tibetischen Buddhismus		2000	Herder	Freiburg			SANG	TIB	G				3 451 04731 4	Paperback	1	
1044	Sangharakshita			Tibetan Buddhism	An introduction	1996				Sangharakshita	SANG	TIB					0-904766-86-1	Book	1	
1045	Sangharakshita			Tibetan Buddhism	An introduction	1996				Sangharakshita	SANG	TIB					0-904766-86-1	Book	1	
1046	Sangharakshita			Transforming Self & World	Themes from the Sutra of Golden Light	1995				Sangharakshita	SANG	TRA					0-904766-73-x	Paperback	1	
1047	Sangharakshita			Travel Letters		1985				Sangharakshita	SANG	TRA					0-904766-17-9	Book	1	
1048	Sangharakshita			Travel Letters		1985				Sangharakshita	SANG	TRA					0-904766-17-9	Book	1	
1049	Sangharakshita			Varpauden Maku		1990	Windhorse Publications			Books in other languages	SANG	VAR	Fi				951-96285-1-7	Paperback book	1	
1050	Sangharakshita		Sarvamitra	Buddhan Jalo Kahdeksanosainen Polku		1994	Lansimaisen buddhalaisen veljeskunnan ystavat	Helsinki			SANG	VIS	Fi				951-96285-3-3	Paperback	1	
1051	Sangharakshita		"FWBO translation teamSehen,wie die Dinge sind "	"Sehen, wie die Dinge sind"		1995	DO Publikationen   				SANG	VIS	G				9-783929-447026	Paperback	1	
1052	Sangharakshita			Vision and Transformation	An Introduction to the Buddha's Noble Eightfold Path	05-Jun				Sangharakshita	SANG	VIS					0-904766-44-6	Paperback book	1	
1053	Sangharakshita			Vision and Transformation	An Introduction to the Buddha's Noble Eightfold Path	05-Jun				Sangharakshita	SANG	VIS					0-904766-44-6	Paperback book	1	
1054	Sangharakshita			Was the Buddha a Bhikkhu?		1994				Sangharakshita	SANG	WAS					0-904766-71-3	Paperback	1	
1055	Sangharakshita			Was the Buddha a Bhikkhu?		1994				Sangharakshita	SANG	WAS					0-904766-71-3	Paperback	1	
1056	Sangharakshita			Was the Buddha a Bhikkhu?		1994				Sangharakshita	SANG	WAS					0-904766-71-3	Paperback	1	
1057	Sangharakshita			The Way to Wisdom	An Exploration of the Five Spiritual Faculties	1984				Sangharakshita	SANG	WAY						Book	1	
1058	Sangharakshita		Oscar Franco Anaya	La Sangha		2010	ediciones CBCM  Mexico City	Mexico City			SANG	WHA	Sp				no ISBN	Paperback	1	
1059	Sangharakshita			What is the Dharma?	The Essential Teachings of the Buddha	1998				Sangharakshita	SANG	WHA					1-899579-01-x	Paperback	1	
1060	Sangharakshita			What is the Dharma?	The Essential Teachings of the Buddha	1998				Sangharakshita	SANG	WHA					1-899579-01-x	Paperback book	1	
1061	Sangharakshita			What is the Sangha?		2000	Windhorse	Birmingham		Sangharakshita	SANG	WHA					1 899579 31 1	Paperback book 	1	
1062	Sangharakshita			What is the Sangha?		2000	Windhorse	Birmingham		Sangharakshita	SANG	WHA					1 899579 31 1	Paperback book 	1	
1063	Sangharakshita		Gert-Jan Kramer	Wie is de Boeddha?		2000	Uitgeverij BZZToH				SANG	WHO	Nl				90-5501-776-0	Paperback	1	
1064	Sangharakshita		Shuddhavajra	Quien es el Buda		1994	Tres Joyas	Valencia			SANG	WHO	Sp				9 788488 768087	Paperback	1	
1065	Sangharakshita			Who is the Buddha?		1994				Sangharakshita	SANG	WHO					0-904766-24-1		1	
1066	Sangharakshita			Who is the Buddha?		1994				Sangharakshita	SANG	WHO					0-904766-24-1		1	
1067	Sangharakshita			Wisdom Beyond Words	Sense and Non-sense in the Buddhist Prajnaparamita tradition	1993	Windhorse				SANG	WIS						paper	1	
1068	Sangharakshita			Wisdom Beyond Words	Sense and Non-sense in the Buddhist Prajnaparamita tradition	1993	Windhorse				SANG	WIS						paper	1	
1069	Sangharakshita			Wisdom Beyond Words	Sense and Non-sense in the Buddhist Prajnaparamita tradition	1993	Windhorse				SANG	WIS						paper	1	
1070	Sangharakshita			The Yogi's Joy	The Songs of Milarepa	2006	Windhorse				SANG	YOG						paperback	1	
1071	Sangharakshita			The Yogi's Joy	The Songs of Milarepa	2006	Windhorse				SANG	YOG					1899579664	paperback	1	
1072	Akong Tulku Rinpoche			Taming the Tiger	Tibetan Teachings for Improving Daily Life	1994	Rider			Tibetan	TIB	GEN	AKO				0-7126-6220-0	Paperback	1	
1073	"Amipa, Sherab Gyaltsen Lama"			The Opening of the Lotus	Developing clarity & kindness	1987	Wisdom			Tibetan	TIB	GEN	AMI				0-86171-049-5	paperback	1	
1074	"Aris, Micheal"			Hidden Treasures and Secret Lives	A Study of Pemalingpa (1450-1521) and the Sixth Dalai Lama (1683-1706)	1988	Motilal Banarsidass			Tibetan	TIB	GEN	ARI				81-208-501-1	Hardback book	1	
1075	"Avedon, John F."			In Exile from the Land of Snows		1984	Michael Joseph			Tibetan	TIB	GEN	AVE				0-7181-2408-1	Hardback book	1	
1076	"Batchelor, Stephen (ed)"			The Jewel in the Lotus	A Guide to the Buddhist Traditions of Tibet	1987	Wisdom Publications			Tibetan	TIB	GEN	BAT				0-86171-048-7	Paperback book	1	
1077	"Bell, Charles"			Portrait of a Dalai Lama	The Life and Times of the Great Thirteenth	1987	Wisdom Publications			Tibetan	TIB	GEL	DL13				0-86171-055-X	Paperback book	1	
1078	"Beyer, Stephan"			The Cult of Tara	Magic and Ritual in Tibet	1978	University of California Press	Berkeley		General	TIB	GEN	BEY				0-520-03635-2	Book	1	
1079	"Berzin, Alexander"			Relating to a Spiritual Teacher	Building a healthy relationship	2000	Snow Lion Publications			Tibetan	TIB	GEN	BEZ				1-55939-139-1	Paperback book	1	
1080	"Bharati, Agehananda"			The Tantric Tradition		1965	Rider & Co.			Tibetan	TIB	GEN	BHA				0-7126-5540-9	Paperback book	1	
1081	"Bishop, Peter"			Dreams of Power	Tibetan Buddhism and the Western Imagination	1993	The Athlone Press			Tibetan	TIB	GEN	BIS				0-485-11328-7	Hardback book	1	
1082	"Blofeld, John"			The Way of Power	A practical guide to the tantric Mysticism of Tibet	1970	George Allen and Unwin Ltd			Tibetan	TIB	GEN	BLO				04-294064-8	Hardback book	1	
1083	Bokar Rinpoche		"Buchet, Christiane"	Death and the Art of Dying - in Tibetan Buddhism		1993	ClearPoint Press			Tibetan	TIB	GEN	BOK				0-9630371-2-9	Paperback book	1	
1084	"Chattopadhyaya, Alaka"			Atisa and Tibet	Life and words of Dipankara Srijnana in relation to the History and religion of Tibet with Tibetan Sources translated under Professor Lama Chinpa	1999	Motilal Banarsidass			Tibetan	TIB	GEL	CHA				81-208-0928-9	Hardback book	1	
1085	Chagdud Tulku			Gates to Buddhist Practice		1993	Padma Publishing			Tibetan	TIB	GEN	CHA				1-881847-02-0	Paperback	1	
1086	"Chagme, Karma"		"Wallace, Alan"	Naked Awareness	Practical Instructions on the Union of Mahamudra and Dzogchen	2000	Snow Lion Publications			Tibetan	TIB	GEN	CHA				1-55939-146-4	Paperback book	1	
1087	"Chang, Garma C.C."			Teachings of Tibetan Yoga		1963	University Books			Tibetan	TIB	GEN	CHA					Hardback book	1	
1088	"Chang, Garma C.C."			The Six Yogas of Naropa & Teachings on the Mahamudra		1963	Snow Lion Publications			Tibetan	TIB	KAG	NAR				0-937938-33-5	Paperback book	1	
1089	"Chodron, Thubten (ed)"			Blossoms of the Dharma	Living as aBuddhist Nun	1999	North Atlantic books			Tibetan	TIB	GEN	CHO				1-55643-325-5	paperback	1	
1090	"Chogyam, Ngakpa"			Journey into Vastness	A Handbook of Tibetan Meditation Techniques	1988	Element Books Ltd			Tibetan	TIB	GEN	CHO				1-85230-017-5	Paperback book	1	
1091	"Chodron, Thubten"			Open Heart Clear Mind		1990	Snow Lion Publications			Tibetan	TIB	GEN	CHO				0-937938-87-4	Paperback book	1	
1092	"Chogyam, Ngakpa"			The Rainbow of Liberated Energy	Working with Emotions through the colour and element symbolism of Tibetan Tantra	1987	Element Books Ltd			Tibetan	TIB	GEN	CHO				0-906540-92-5	Paperback book	1	
1093	"Chodren, Thubten"			What Colour is your mind?		1993	Snow Lion Publications			Tibetan	TIB	GEN	CHO				1-55939-015-8	Paperback book	1	
1094	"Cozort, Daniel and Preseton, Craig"			Buddhist Philosophy	Losang Gonchok's short commentary to Jamyang Shayba's Root Text on Tenents	2003	Snow Lion Publications			Tibetan	TIB	GEL	COZ				1-55939-198-7	Paperback book	1	
1095	"Cozort, Daniel"			Highest Yoga Tantra	An Introduction to the Esoteric Buddhism of Tibet	1986	Snow Lion Publications			Tibetan	TIB	GEL	COZ				0-937938-32-7	Paperback book	1	
1097	"Crook, John and Low, James"			The Yogins of Ladakh	A Pilgramage Among the Hermits of the Buddhist Himalayas	1997	Motilal Banarsidass			Tibetan	TIB	GEN	CRO				81-208-1462-2	Hardback Book	1	
1098	"Dargyay, Eva M."			The Rise of Esoteric Buddhism in Tibet		1979	Motilal Banarsidass		2	Tibetan	TIB	GEN	DAR				0-89684-039-5	Hardback Book	1	
1099	"Dasgupta, S. B"			An Introduction to Tantric Buddhism		1958	University of Calcutta			Tibetan	TIB	GEN	DAS					Hardback book	1	
1100	"David-Neel, Alexandra"			Initiations and Initiates in Tibet		1931				Tibetan	TIB	GEN	DAV					Hardback book	1	
1101	"David-Neel, Alexandra"			Magic and Mystery in Tibet		1971	Corgi Books			Tibetan	TIB	GEN	DAV				0-552-08745-9	Paperback	1	
1102	"David-Neel, Alexandra and Lama Yongden"		"Guenther, Herbert V."	The Secret Oral Teachings in Tibetan Buddhist Sects		1972	City Lights			Tibetan	TIB	GEN	DAV					Paperback book	1	
1103	"David-Neel, Alexandra and Lama Yongden"			The Superhuman Life of Gesar of Ling		1934	Claud Kendall			Tibetan	TIB	GEN	DAV					Hardback book	1	
1104	"David-Neel, Alexandra"			With Mystics and Magicians in Tibet		1936	Penguin Books			Tibetan	TIB	GEN	DAV					Hardback book	1	
1105	"Desjardins, Arnaud"			The Message of the Tibetans		1969	Stuart & Watkins				TIB	GEN	DES				7224-0106-x	hardback	1	
1106	"Dhammika,S"			Mount Kailash	A Pilgrim's Companion	2010	Buddha Dhamma Mandala Society				TIB	GEN	DHA				978-981-08-7201-4	paperback	1	
1107	Doboom Tulku Lama (compiled)		"Mullin, Glenn H"	Atisha and Buddhism in Tibet		1983	Tibet House			Tibetan	TIB	GEL	ATI				None	Paperback	1	
1108	Doboom Tulku Lama (compiled)			Buddhist Prayer and Meditation		2001	Tibet House			Tibetan	TIB	GEN	DOB				None	Pamphlet	1	
1109	Yongdrin Trijang Dorjechang			Prayers for the Long Life of Ven. Geshe Kelsang Gyatso Rinpoche						Tibetan	TIB	GEL	GYA					Booklet	1	
1110	"Dowman, Keith"			Masters of Mahamudra	Songs and Histories of the Eighty-Four Buddhist Siddhas	1985	State University of New York Press			Tibetan	TIB	KAG	MAH				0-88706-160-5	Book	1	
